,value
532,2.302
533,2.324
534,2.294
535,2.335
536,2.347
537,2.360
538,2.393
539,2.612
540,2.371
541,2.631
542,2.793
543,2.792
544,2.780
545,2.865
546,2.831
547,2.900
548,2.903
549,2.954
550,2.964
551,3.178
552,3.008
553,3.034
554,3.106
555,3.011
556,2.936
557,2.998
558,2.929
559,2.971
560,2.951
561,3.025
562,2.974
563,3.050
564,2.991
565,3.045
566,3.086
567,3.035
568,3.025
569,3.142
570,2.991
571,3.095
572,3.080
573,3.000
574,2.973
575,3.005
576,2.968
577,3.001
578,2.994
579,2.990
580,2.976
581,3.107
582,2.978
583,3.033
584,3.081
585,2.999
586,3.003
587,3.157
588,2.996
589,3.031
590,3.002
591,3.072
592,2.993
593,3.006
594,2.930
595,3.011
596,3.024
597,3.036
598,2.950
599,3.037
600,2.952
601,3.167
602,3.379
603,3.316
604,3.223
605,3.210
606,3.131
607,3.150
608,3.143
609,3.125
610,3.075
611,3.172
612,3.099
613,3.108
614,3.094
615,3.096
616,3.074
617,3.136
618,3.059
619,3.116
620,3.087
621,3.125
622,3.079
623,3.113
624,3.029
625,3.061
626,3.036
627,3.041
628,3.009
629,3.057
630,2.991
631,3.099
632,3.075
633,3.022
634,3.011
635,3.068
636,2.991
637,3.047
638,3.007
639,2.995
640,2.979
641,3.073
642,2.956
643,2.976
644,2.947
645,2.961
646,2.954
647,2.994
648,2.924
649,2.984
650,2.978
651,3.043
652,2.975
653,2.998
654,2.939
655,2.956
656,2.936
657,2.970
658,2.946
659,3.041
660,2.968
661,3.121
662,3.173
663,3.117
664,3.141
665,3.162
666,3.128
667,3.180
668,3.122
669,3.121
670,3.090
671,3.108
672,3.028
673,3.048
674,2.995
675,2.982
676,2.989
677,3.048
678,2.980
679,3.071
680,3.015
681,3.095
682,3.038
683,3.026
684,2.956
685,3.000
686,3.000
687,2.983
688,2.940
689,2.994
690,2.863
691,2.958
692,2.908
693,2.887
694,2.885
695,2.896
696,2.831
697,2.881
698,2.832
699,2.829
700,2.795
701,2.923
702,2.787
703,2.822
704,2.845
705,2.805
706,2.747
707,2.799
708,2.703
709,2.747
710,2.755
711,2.813
712,2.729
713,2.702
714,2.644
715,2.685
716,2.667
717,2.650
718,2.592
719,2.614
720,2.517
721,2.550
722,2.500
723,2.439
724,2.411
725,2.404
726,2.354
727,2.390
728,2.357
729,2.388
730,2.368
731,2.477
732,2.390
733,2.419
734,2.384
735,2.373
736,2.351
737,2.412
738,2.326
739,2.348
740,2.308
741,2.398
742,2.336
743,2.344
744,2.281
745,2.307
746,2.250
747,2.279
748,2.229
749,2.278
750,2.210
751,2.274
752,2.192
753,2.182
754,2.120
755,2.143
756,2.096
757,2.110
758,2.058
759,2.098
760,2.057
761,2.171
762,2.098
763,2.116
764,2.085
765,2.106
766,2.054
767,2.095
768,2.053
769,2.089
770,2.085
771,2.170
772,2.097
773,2.110
774,2.054
775,2.086
776,2.056
777,2.079
778,2.066
779,2.167
780,2.085
781,2.198
782,2.172
783,2.135
784,2.116
785,2.169
786,2.127
787,2.167
788,2.121
789,2.151
790,2.118
791,2.250
792,2.163
793,2.195
794,2.188
795,2.204
796,2.171
797,2.197
798,2.148
799,2.157
800,2.105
801,2.187
802,2.079
803,2.126
804,2.069
805,2.116
806,2.076
807,2.109
808,2.076
809,2.138
810,2.072
811,2.182
812,2.173
813,2.155
814,2.153
815,2.209
816,2.150
817,2.203
818,2.137
819,2.168
820,2.134
821,2.244
822,2.172
823,2.216
824,2.177
825,2.218
826,2.178
827,2.225
828,2.178
829,2.228
830,2.184
831,2.258
832,2.173
833,2.215
834,2.158
835,2.208
836,2.189
837,2.194
838,2.157
839,2.198
840,2.155
841,2.306
842,2.277
843,2.297
844,2.280
845,2.340
846,2.319
847,2.372
848,2.353
849,2.387
850,2.362
851,2.468
852,2.379
853,2.408
854,2.410
855,2.409
856,2.422
857,2.472
858,2.389
859,2.453
860,2.417
861,2.492
862,2.430
863,2.450
864,2.403
865,2.436
866,2.410
867,2.444
868,2.403
869,2.439
870,2.397
871,2.497
872,2.448
873,2.445
874,2.427
875,2.478
876,2.431
877,2.484
878,2.446
879,2.477
880,2.446
881,2.548
